timestamp,BTC: Short-Term Holder Profit/Loss Ratio,timestamp,90% Profit / 10% Loss,timestamp,10% Profit / 90% Loss,timestamp,BTC: Price,timestamp,50% Profit / 50% Loss,timestamp,---,timestamp,Very High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,Low Risk
2009-01-30T00:00:00.000Z,,2009-01-30T00:00:00.000Z,9,2009-01-30T00:00:00.000Z,0.1111111111111111,,,2009-01-30T00:00:00.000Z,1,2009-01-30T00:00:00.000Z,1,,,,,,,,
2009-01-31T00:00:00.000Z,,2009-01-31T00:00:00.000Z,9,2009-01-31T00:00:00.000Z,0.1111111111111111,,,2009-01-31T00:00:00.000Z,1,2009-01-31T00:00:00.000Z,1,,,,,,,,
2009-02-01T00:00:00.000Z,,2009-02-01T00:00:00.000Z,9,2009-02-01T00:00:00.000Z,0.1111111111111111,,,2009-02-01T00:00:00.000Z,1,2009-02-01T00:00:00.000Z,1,,,,,,,,
2009-02-02T00:00:00.000Z,,2009-02-02T00:00:00.000Z,9,2009-02-02T00:00:00.000Z,0.1111111111111111,,,2009-02-02T00:00:00.000Z,1,2009-02-02T00:00:00.000Z,1,,,,,,,,
2009-02-03T00:00:00.000Z,,2009-02-03T00:00:00.000Z,9,2009-02-03T00:00:00.000Z,0.1111111111111111,,,2009-02-03T00:00:00.000Z,1,2009-02-03T00:00:00.000Z,1,,,,,,,,
2009-02-04T00:00:00.000Z,,2009-02-04T00:00:00.000Z,9,2009-02-04T00:00:00.000Z,0.1111111111111111,,,2009-02-04T00:00:00.000Z,1,2009-02-04T00:00:00.000Z,1,,,,,,,,
2009-02-05T00:00:00.000Z,,2009-02-05T00:00:00.000Z,9,2009-02-05T00:00:00.000Z,0.1111111111111111,,,2009-02-05T00:00:00.000Z,1,2009-02-05T00:00:00.000Z,1,,,,,,,,
2009-02-06T00:00:00.000Z,,2009-02-06T00:00:00.000Z,9,2009-02-06T00:00:00.000Z,0.1111111111111111,,,2009-02-06T00:00:00.000Z,1,2009-02-06T00:00:00.000Z,1,,,,,,,,
2009-02-07T00:00:00.000Z,,2009-02-07T00:00:00.000Z,9,2009-02-07T00:00:00.000Z,0.1111111111111111,,,2009-02-07T00:00:00.000Z,1,2009-02-07T00:00:00.000Z,1,,,,,,,,
2009-02-08T00:00:00.000Z,,2009-02-08T00:00:00.000Z,9,2009-02-08T00:00:00.000Z,0.1111111111111111,,,2009-02-08T00:00:00.000Z,1,2009-02-08T00:00:00.000Z,1,,,,,,,,
2009-02-09T00:00:00.000Z,,2009-02-09T00:00:00.000Z,9,2009-02-09T00:00:00.000Z,0.1111111111111111,,,2009-02-09T00:00:00.000Z,1,2009-02-09T00:00:00.000Z,1,,,,,,,,
2009-02-10T00:00:00.000Z,,2009-02-10T00:00:00.000Z,9,2009-02-10T00:00:00.000Z,0.1111111111111111,,,2009-02-10T00:00:00.000Z,1,2009-02-10T00:00:00.000Z,1,,,,,,,,
2009-02-11T00:00:00.000Z,,2009-02-11T00:00:00.000Z,9,2009-02-11T00:00:00.000Z,0.1111111111111111,,,2009-02-11T00:00:00.000Z,1,2009-02-11T00:00:00.000Z,1,,,,,,,,
2009-02-12T00:00:00.000Z,,2009-02-12T00:00:00.000Z,9,2009-02-12T00:00:00.000Z,0.1111111111111111,,,2009-02-12T00:00:00.000Z,1,2009-02-12T00:00:00.000Z,1,,,,,,,,
2009-02-13T00:00:00.000Z,,2009-02-13T00:00:00.000Z,9,2009-02-13T00:00:00.000Z,0.1111111111111111,,,2009-02-13T00:00:00.000Z,1,2009-02-13T00:00:00.000Z,1,,,,,,,,
