timestamp,BTC: Price,timestamp,BTC: Long-Term Holder Supply,timestamp,LTH-Spending Binary Indicator [7D],timestamp,---,timestamp,LTH-SPENDING BI = 6-of-7,timestamp,LTH-SPENDING BI = 4-of-7,timestamp,LTH-SPENDING BI = 1-of-7,timestamp,Very High Risk,timestamp,High Risk,timestamp,Low Risk,timestamp,Very Low Risk
,,2009-01-19T00:00:00.000Z,0.0148323709141521,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,1,2009-01-19T00:00:00.000Z,0.8571428571428571,2009-01-19T00:00:00.000Z,0.5,2009-01-19T00:00:00.000Z,0.14285714285714285,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,0.1
,,2009-01-20T00:00:00.000Z,0.0179581752142144,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,1,2009-01-20T00:00:00.000Z,0.8571428571428571,2009-01-20T00:00:00.000Z,0.5,2009-01-20T00:00:00.000Z,0.14285714285714285,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,0.1
,,2009-01-21T00:00:00.000Z,0.0213049090887494,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,1,2009-01-21T00:00:00.000Z,0.8571428571428571,2009-01-21T00:00:00.000Z,0.5,2009-01-21T00:00:00.000Z,0.14285714285714285,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,0.1
,,2009-01-22T00:00:00.000Z,0.0230904495359909,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,1,2009-01-22T00:00:00.000Z,0.8571428571428571,2009-01-22T00:00:00.000Z,0.5,2009-01-22T00:00:00.000Z,0.14285714285714285,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,0.1
,,2009-01-23T00:00:00.000Z,0.0268203289744148,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,1,2009-01-23T00:00:00.000Z,0.8571428571428571,2009-01-23T00:00:00.000Z,0.5,2009-01-23T00:00:00.000Z,0.14285714285714285,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,0.1
,,2009-01-24T00:00:00.000Z,0.0307102773869703,2009-01-24T00:00:00.000Z,0,2009-01-24T00:00:00.000Z,1,2009-01-24T00:00:00.000Z,0.8571428571428571,2009-01-24T00:00:00.000Z,0.5,2009-01-24T00:00:00.000Z,0.14285714285714285,2009-01-24T00:00:00.000Z,0,2009-01-24T00:00:00.000Z,0,2009-01-24T00:00:00.000Z,0,2009-01-24T00:00:00.000Z,0.1
,,2009-01-25T00:00:00.000Z,0.0346310073009057,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,1,2009-01-25T00:00:00.000Z,0.8571428571428571,2009-01-25T00:00:00.000Z,0.5,2009-01-25T00:00:00.000Z,0.14285714285714285,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,0.1
,,2009-01-26T00:00:00.000Z,0.0368039314954821,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,1,2009-01-26T00:00:00.000Z,0.8571428571428571,2009-01-26T00:00:00.000Z,0.5,2009-01-26T00:00:00.000Z,0.14285714285714285,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,0.1
,,2009-01-27T00:00:00.000Z,0.0425497917169214,2009-01-27T00:00:00.000Z,0,2009-01-27T00:00:00.000Z,1,2009-01-27T00:00:00.000Z,0.8571428571428571,2009-01-27T00:00:00.000Z,0.5,2009-01-27T00:00:00.000Z,0.14285714285714285,2009-01-27T00:00:00.000Z,0,2009-01-27T00:00:00.000Z,0,2009-01-27T00:00:00.000Z,0,2009-01-27T00:00:00.000Z,0.1
,,2009-01-28T00:00:00.000Z,0.0491036138128002,2009-01-28T00:00:00.000Z,0,2009-01-28T00:00:00.000Z,1,2009-01-28T00:00:00.000Z,0.8571428571428571,2009-01-28T00:00:00.000Z,0.5,2009-01-28T00:00:00.000Z,0.14285714285714285,2009-01-28T00:00:00.000Z,0,2009-01-28T00:00:00.000Z,0,2009-01-28T00:00:00.000Z,0,2009-01-28T00:00:00.000Z,0.1
,,2009-01-29T00:00:00.000Z,0.0521156221858904,2009-01-29T00:00:00.000Z,0,2009-01-29T00:00:00.000Z,1,2009-01-29T00:00:00.000Z,0.8571428571428571,2009-01-29T00:00:00.000Z,0.5,2009-01-29T00:00:00.000Z,0.14285714285714285,2009-01-29T00:00:00.000Z,0,2009-01-29T00:00:00.000Z,0,2009-01-29T00:00:00.000Z,0,2009-01-29T00:00:00.000Z,0.1
,,2009-01-30T00:00:00.000Z,0.0600900514861495,2009-01-30T00:00:00.000Z,0,2009-01-30T00:00:00.000Z,1,2009-01-30T00:00:00.000Z,0.8571428571428571,2009-01-30T00:00:00.000Z,0.5,2009-01-30T00:00:00.000Z,0.14285714285714285,2009-01-30T00:00:00.000Z,0,2009-01-30T00:00:00.000Z,0,2009-01-30T00:00:00.000Z,0,2009-01-30T00:00:00.000Z,0.1
,,2009-01-31T00:00:00.000Z,0.063575815990031,2009-01-31T00:00:00.000Z,0,2009-01-31T00:00:00.000Z,1,2009-01-31T00:00:00.000Z,0.8571428571428571,2009-01-31T00:00:00.000Z,0.5,2009-01-31T00:00:00.000Z,0.14285714285714285,2009-01-31T00:00:00.000Z,0,2009-01-31T00:00:00.000Z,0,2009-01-31T00:00:00.000Z,0,2009-01-31T00:00:00.000Z,0.1
,,2009-02-01T00:00:00.000Z,0.0726919837302151,2009-02-01T00:00:00.000Z,0,2009-02-01T00:00:00.000Z,1,2009-02-01T00:00:00.000Z,0.8571428571428571,2009-02-01T00:00:00.000Z,0.5,2009-02-01T00:00:00.000Z,0.14285714285714285,2009-02-01T00:00:00.000Z,0,2009-02-01T00:00:00.000Z,0,2009-02-01T00:00:00.000Z,0,2009-02-01T00:00:00.000Z,0.1
,,2009-02-02T00:00:00.000Z,0.0767765786402155,2009-02-02T00:00:00.000Z,0,2009-02-02T00:00:00.000Z,1,2009-02-02T00:00:00.000Z,0.8571428571428571,2009-02-02T00:00:00.000Z,0.5,2009-02-02T00:00:00.000Z,0.14285714285714285,2009-02-02T00:00:00.000Z,0,2009-02-02T00:00:00.000Z,0,2009-02-02T00:00:00.000Z,0,2009-02-02T00:00:00.000Z,0.1
,,2009-02-03T00:00:00.000Z,0.0880597391287734,2009-02-03T00:00:00.000Z,0,2009-02-03T00:00:00.000Z,1,2009-02-03T00:00:00.000Z,0.8571428571428571,2009-02-03T00:00:00.000Z,0.5,2009-02-03T00:00:00.000Z,0.14285714285714285,2009-02-03T00:00:00.000Z,0,2009-02-03T00:00:00.000Z,0,2009-02-03T00:00:00.000Z,0,2009-02-03T00:00:00.000Z,0.1
,,2009-02-04T00:00:00.000Z,0.0927576338194726,2009-02-04T00:00:00.000Z,0,2009-02-04T00:00:00.000Z,1,2009-02-04T00:00:00.000Z,0.8571428571428571,2009-02-04T00:00:00.000Z,0.5,2009-02-04T00:00:00.000Z,0.14285714285714285,2009-02-04T00:00:00.000Z,0,2009-02-04T00:00:00.000Z,0,2009-02-04T00:00:00.000Z,0,2009-02-04T00:00:00.000Z,0.1
,,2009-02-05T00:00:00.000Z,0.105590482020641,2009-02-05T00:00:00.000Z,0,2009-02-05T00:00:00.000Z,1,2009-02-05T00:00:00.000Z,0.8571428571428571,2009-02-05T00:00:00.000Z,0.5,2009-02-05T00:00:00.000Z,0.14285714285714285,2009-02-05T00:00:00.000Z,0,2009-02-05T00:00:00.000Z,0,2009-02-05T00:00:00.000Z,0,2009-02-05T00:00:00.000Z,0.1
,,2009-02-06T00:00:00.000Z,0.11108045140751,2009-02-06T00:00:00.000Z,0,2009-02-06T00:00:00.000Z,1,2009-02-06T00:00:00.000Z,0.8571428571428571,2009-02-06T00:00:00.000Z,0.5,2009-02-06T00:00:00.000Z,0.14285714285714285,2009-02-06T00:00:00.000Z,0,2009-02-06T00:00:00.000Z,0,2009-02-06T00:00:00.000Z,0,2009-02-06T00:00:00.000Z,0.1
,,2009-02-07T00:00:00.000Z,0.125868535069929,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,1,2009-02-07T00:00:00.000Z,0.8571428571428571,2009-02-07T00:00:00.000Z,0.5,2009-02-07T00:00:00.000Z,0.14285714285714285,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0.1
,,2009-02-08T00:00:00.000Z,0.142213150936956,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,1,2009-02-08T00:00:00.000Z,0.8571428571428571,2009-02-08T00:00:00.000Z,0.5,2009-02-08T00:00:00.000Z,0.14285714285714285,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0.1
,,2009-02-09T00:00:00.000Z,0.147656749811788,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,1,2009-02-09T00:00:00.000Z,0.8571428571428571,2009-02-09T00:00:00.000Z,0.5,2009-02-09T00:00:00.000Z,0.14285714285714285,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0.1
