timestamp,BTC: Realized P/L Ratio,timestamp,High Risk,timestamp,Very Low Risk,timestamp,Very High Risk,timestamp,BTC: Price,timestamp,90% Profit ,timestamp,50% Profit ,timestamp,75% Profit,timestamp,Low Risk,timestamp,---
2010-08-05T00:00:00.000Z,0.460418176026573,2010-08-05T00:00:00.000Z,0,2010-08-05T00:00:00.000Z,0,2010-08-05T00:00:00.000Z,0,2010-08-05T00:00:00.000Z,0.061,2010-08-05T00:00:00.000Z,9,2010-08-05T00:00:00.000Z,1,2010-08-05T00:00:00.000Z,3,2010-08-05T00:00:00.000Z,0.1,2010-08-05T00:00:00.000Z,1
2010-08-06T00:00:00.000Z,1.54921648645682,2010-08-06T00:00:00.000Z,0,2010-08-06T00:00:00.000Z,0,2010-08-06T00:00:00.000Z,0,2010-08-06T00:00:00.000Z,0.0621,2010-08-06T00:00:00.000Z,9,2010-08-06T00:00:00.000Z,1,2010-08-06T00:00:00.000Z,3,2010-08-06T00:00:00.000Z,0.1,2010-08-06T00:00:00.000Z,1
2010-08-07T00:00:00.000Z,0.433858977877479,2010-08-07T00:00:00.000Z,0,2010-08-07T00:00:00.000Z,0,2010-08-07T00:00:00.000Z,0,2010-08-07T00:00:00.000Z,0.059,2010-08-07T00:00:00.000Z,9,2010-08-07T00:00:00.000Z,1,2010-08-07T00:00:00.000Z,3,2010-08-07T00:00:00.000Z,0.1,2010-08-07T00:00:00.000Z,1
2010-08-08T00:00:00.000Z,0.442814055251411,2010-08-08T00:00:00.000Z,0,2010-08-08T00:00:00.000Z,0,2010-08-08T00:00:00.000Z,0,2010-08-08T00:00:00.000Z,0.0609,2010-08-08T00:00:00.000Z,9,2010-08-08T00:00:00.000Z,1,2010-08-08T00:00:00.000Z,3,2010-08-08T00:00:00.000Z,0.1,2010-08-08T00:00:00.000Z,1
2010-08-09T00:00:00.000Z,3.91480056259317,2010-08-09T00:00:00.000Z,0,2010-08-09T00:00:00.000Z,0,2010-08-09T00:00:00.000Z,0,2010-08-09T00:00:00.000Z,0.071,2010-08-09T00:00:00.000Z,9,2010-08-09T00:00:00.000Z,1,2010-08-09T00:00:00.000Z,3,2010-08-09T00:00:00.000Z,0.1,2010-08-09T00:00:00.000Z,1
2010-08-10T00:00:00.000Z,4.63423863889395,2010-08-10T00:00:00.000Z,0,2010-08-10T00:00:00.000Z,0,2010-08-10T00:00:00.000Z,0,2010-08-10T00:00:00.000Z,0.07,2010-08-10T00:00:00.000Z,9,2010-08-10T00:00:00.000Z,1,2010-08-10T00:00:00.000Z,3,2010-08-10T00:00:00.000Z,0.1,2010-08-10T00:00:00.000Z,1
2010-08-11T00:00:00.000Z,3.73213498370418,2010-08-11T00:00:00.000Z,0,2010-08-11T00:00:00.000Z,0,2010-08-11T00:00:00.000Z,0,2010-08-11T00:00:00.000Z,0.067,2010-08-11T00:00:00.000Z,9,2010-08-11T00:00:00.000Z,1,2010-08-11T00:00:00.000Z,3,2010-08-11T00:00:00.000Z,0.1,2010-08-11T00:00:00.000Z,1
2010-08-12T00:00:00.000Z,0.30733757326693,2010-08-12T00:00:00.000Z,0,2010-08-12T00:00:00.000Z,0,2010-08-12T00:00:00.000Z,0,2010-08-12T00:00:00.000Z,0.07,2010-08-12T00:00:00.000Z,9,2010-08-12T00:00:00.000Z,1,2010-08-12T00:00:00.000Z,3,2010-08-12T00:00:00.000Z,0.1,2010-08-12T00:00:00.000Z,1
2010-08-13T00:00:00.000Z,1.67212533370936,2010-08-13T00:00:00.000Z,0,2010-08-13T00:00:00.000Z,0,2010-08-13T00:00:00.000Z,0,2010-08-13T00:00:00.000Z,0.0645,2010-08-13T00:00:00.000Z,9,2010-08-13T00:00:00.000Z,1,2010-08-13T00:00:00.000Z,3,2010-08-13T00:00:00.000Z,0.1,2010-08-13T00:00:00.000Z,1
2010-08-14T00:00:00.000Z,1.42176148683513,2010-08-14T00:00:00.000Z,0,2010-08-14T00:00:00.000Z,0,2010-08-14T00:00:00.000Z,0,2010-08-14T00:00:00.000Z,0.067,2010-08-14T00:00:00.000Z,9,2010-08-14T00:00:00.000Z,1,2010-08-14T00:00:00.000Z,3,2010-08-14T00:00:00.000Z,0.1,2010-08-14T00:00:00.000Z,1
2010-08-15T00:00:00.000Z,0.708240400194111,2010-08-15T00:00:00.000Z,0,2010-08-15T00:00:00.000Z,0,2010-08-15T00:00:00.000Z,0,2010-08-15T00:00:00.000Z,0.06529,2010-08-15T00:00:00.000Z,9,2010-08-15T00:00:00.000Z,1,2010-08-15T00:00:00.000Z,3,2010-08-15T00:00:00.000Z,0.1,2010-08-15T00:00:00.000Z,1
2010-08-16T00:00:00.000Z,0.760067765998522,2010-08-16T00:00:00.000Z,0,2010-08-16T00:00:00.000Z,0,2010-08-16T00:00:00.000Z,0,2010-08-16T00:00:00.000Z,0.0655,2010-08-16T00:00:00.000Z,9,2010-08-16T00:00:00.000Z,1,2010-08-16T00:00:00.000Z,3,2010-08-16T00:00:00.000Z,0.1,2010-08-16T00:00:00.000Z,1
2010-08-17T00:00:00.000Z,1.9658937677517,2010-08-17T00:00:00.000Z,0,2010-08-17T00:00:00.000Z,0,2010-08-17T00:00:00.000Z,0,2010-08-17T00:00:00.000Z,0.07,2010-08-17T00:00:00.000Z,9,2010-08-17T00:00:00.000Z,1,2010-08-17T00:00:00.000Z,3,2010-08-17T00:00:00.000Z,0.1,2010-08-17T00:00:00.000Z,1
2010-08-18T00:00:00.000Z,7.5793456910794,2010-08-18T00:00:00.000Z,0,2010-08-18T00:00:00.000Z,0,2010-08-18T00:00:00.000Z,0,2010-08-18T00:00:00.000Z,0.068,2010-08-18T00:00:00.000Z,9,2010-08-18T00:00:00.000Z,1,2010-08-18T00:00:00.000Z,3,2010-08-18T00:00:00.000Z,0.1,2010-08-18T00:00:00.000Z,1
